ACCELERATION,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17,TRACK_EDGE_18
1,0,0.01774708,0.64,-0.331499,-0.00564497,7.32336,7.56893,9.49822,12.5973,20.6064,26.4258,37.0014,62.4837,140.939,200,200,64.8409,23.4801,14.8422,11.0416,6.47985,4.82699,3.81249,3.67688
1,0,0.0175474733,0.64,-0.331327,-0.00602454,7.32239,7.56719,9.49363,12.5888,20.5811,26.3833,36.9272,62.2932,140.078,200,200,65.3418,23.567,14.8715,11.0574,6.48531,4.82987,3.81399,3.67786
1,0,0.0173464734,0.64,-0.331186,-0.0064184,7.32178,7.56567,9.48966,12.5802,20.5563,26.3411,36.8518,62.1028,139.22,200,200,65.8549,23.6559,14.9001,11.0727,6.49038,4.8324,3.81519,3.67847
1,0,0.0171391964,0.64,-0.331061,-0.00682562,7.32104,7.56409,9.48537,12.5717,20.5303,26.2972,36.774,61.908,138.345,200,200,66.3877,23.7475,14.9297,11.088,6.49557,4.83516,3.81641,3.6792
1,0,0.0169776902,0.64,-0.330732,-0.00724524,7.31921,7.5614,9.47972,12.5611,20.5,26.2492,36.69,61.6998,137.439,198.58,200,66.97,23.8507,14.9651,11.1084,6.50294,4.83925,3.81873,3.68115
1,0,0.0168335121,0.64,-0.330434,-0.00768202,7.31763,7.55896,9.47433,12.5502,20.47,26.1999,36.6036,61.4878,136.513,196.713,200,67.5729,23.9546,15.0002,11.1273,6.5103,4.84329,3.8208,3.68274
0.8348274,0,0.0166793726,0.64,-0.330152,-0.00813883,7.31604,7.5564,9.4686,12.5391,20.4394,26.1499,36.5152,61.2665,135.554,194.797,200,68.2157,24.0632,15.0372,11.1478,6.51715,4.8471,3.823,3.68433
1,0,0.0165194534,0.64,-0.329917,-0.00861567,7.31482,7.55406,9.46323,12.5287,20.4079,26.0974,36.4248,61.042,134.573,192.833,200,68.8845,24.174,15.0747,11.1684,6.52402,4.85083,3.82483,3.68555
0.89075327,0,0.0163482055,0.64,-0.329681,-0.00910729,7.3136,7.55189,9.45761,12.5172,20.3752,26.0454,36.3313,60.81,133.573,190.853,200,69.5871,24.2903,15.1135,11.1887,6.53114,4.85446,3.82666,3.68689
0.99431515,0,0.0161535665,0.64,-0.329305,-0.00961655,7.3114,7.54852,9.45094,12.5045,20.3401,25.9886,36.2315,60.5645,132.539,188.821,200,70.3422,24.4162,15.1572,11.2134,6.54,4.85965,3.82947,3.68909
0.59891605,0,0.0159489252,0.64,-0.328913,-0.010142,7.30945,7.54558,9.44412,12.4914,20.3034,25.9291,36.1301,60.3168,131.487,186.765,200,71.1305,24.5438,15.2023,11.2379,6.54887,4.86443,3.83215,3.69104
1,0,0.0157304946,0.64,-0.328522,-0.0106809,7.30737,7.54231,9.43697,12.4779,20.2658,25.8699,36.0264,60.0621,130.422,184.7,200,71.9597,24.6781,15.2487,11.2631,6.55831,4.8697,3.83496,3.69324
1,0,0.0155149614,0.64,-0.328177,-0.0111982,7.30542,7.53921,9.43045,12.4654,20.2304,25.8126,35.9269,59.8219,129.434,182.783,200,72.7622,24.8084,15.2941,11.2877,6.56677,4.87445,3.83751,3.69531
0.517437,0,0.0152864987,0.64,-0.327816,-0.0117366,7.30347,7.53609,9.42362,12.4522,20.1933,25.754,35.8245,59.5733,128.412,180.824,200,73.6083,24.9425,15.3405,11.3125,6.57571,4.87928,3.84009,3.69727
1,0,0.0150253382,0.64,-0.327268,-0.0122926,7.30042,7.53205,9.41528,12.4369,20.1526,25.6892,35.7142,59.3105,127.354,178.815,200,74.5269,25.0895,15.3939,11.342,6.5867,4.88579,3.84407,3.70044
