,STEERING,ACCELERATION,SPEED,DISTANCE_FROM_CENTER,ANGLE,EDGE1,EDGE2,EDGE3,EDGE4,EDGE5,EDGE6,EDGE7,EDGE8,EDGE9,EDGE10,EDGE11,EDGE12,EDGE13,EDGE14,EDGE15,EDGE16,EDGE17,EDGE18,EDGE19
8875,-0.000571866,0.0072832084,23.61775,0.00788377,0.0041700556,5.45664,5.64924,6.30105,7.71742,10.9147,15.9573,21.0886,31.4365,62.66,200,63.55,31.9098,21.4121,16.2045,11.0853,7.83893,6.40065,5.7388,5.54336
8876,-0.001130487,-0.0900442386,23.7912777778,0.00785923,-0.0010755277,5.45677,5.64924,6.30087,7.7169,10.9132,15.9537,21.0819,31.421,62.596,200,63.615,31.9256,21.4189,16.2081,11.0868,7.83945,6.40084,5.7388,5.54323
8877,-0.0016309368,-0.6100639015,23.8993611111,0.00783946,-0.0042174163,5.45688,5.64927,6.3008,7.71663,10.9124,15.9516,21.078,31.4118,62.5581,200,63.6537,31.9349,21.4228,16.2103,11.0877,7.83973,6.40091,5.73877,5.54312
8878,-0.0017938691,-0.5086951364,23.8858888889,0.00782108,-0.00522828,5.45698,5.64935,6.30085,7.71664,10.9122,15.9512,21.077,31.4093,62.5467,200,63.6655,31.9375,21.4239,16.2108,11.0878,7.83973,6.40086,5.73869,5.54302
8879,-0.0020094996,-0.0993940402,23.7953333333,0.00780461,-0.0041354547,5.45707,5.64947,6.30103,7.71691,10.9128,15.9523,21.0788,31.4132,62.5613,200,63.6505,31.9335,21.422,16.2096,11.0872,7.83945,6.40069,5.73857,5.54293
8880,-0.0010239999,0.3469719841,23.4802222222,0.00777808,-0.0015946218,5.45722,5.64969,6.30135,7.71746,10.9139,15.9546,21.0829,31.4219,62.5947,200,63.6165,31.9246,21.4179,16.2072,11.0861,7.83889,6.40035,5.73835,5.54278
8881,0.0001825428,10.5018204177,23.0782777778,0.00773933,0.0012194146,5.45743,5.64998,6.30178,7.71814,10.9153,15.9574,21.0876,31.4319,62.6323,200,63.5784,31.9145,21.4131,16.2044,11.0847,7.83821,6.39993,5.73805,5.54257
8882,0.00136004,34.5087957238,22.7902222222,0.0076887,0.0046891496,5.45771,5.65036,6.30232,7.719,10.917,15.9609,21.0934,31.4443,62.6789,200,63.5312,31.902,21.4072,16.2009,11.083,7.83734,6.39938,5.73767,5.54229
8883,0.0016720366,33.5408022334,22.7985277778,0.00763486,0.0093336544,5.45801,5.65079,6.30296,7.72005,10.9191,15.9653,21.101,31.4605,62.7405,200,63.469,31.8856,21.3996,16.1965,11.0809,7.83628,6.39874,5.73724,5.54199
8884,0.0014463758,21.3241532855,22.9206666667,0.00758318,0.0124209229,5.45829,5.65117,6.30348,7.72087,10.9207,15.9685,21.1063,31.4718,62.7825,200,63.4268,31.8742,21.3942,16.1932,11.0793,7.83546,6.39821,5.73686,5.54171
